cohort_date,first_session_segment,day_n,target_date,is_eligible,cohort_size,retained_visitors,retention_rate,data_origin
2015-05-03,all,1,2015-05-04,true,7865,405,0.05149396058486968,real
2015-05-03,all,3,2015-05-06,true,7865,169,0.021487603305785124,real
2015-05-03,all,7,2015-05-10,true,7865,109,0.01385886840432295,real
2015-05-03,all,14,2015-05-17,true,7865,78,0.009917355371900827,real
2015-05-03,all,30,2015-06-02,true,7865,37,0.004704386522568341,real
2015-05-03,browse_only,1,2015-05-04,true,7664,378,0.04932150313152401,real
2015-05-03,browse_only,3,2015-05-06,true,7664,161,0.021007306889352817,real
2015-05-03,browse_only,7,2015-05-10,true,7664,104,0.013569937369519834,real
2015-05-03,browse_only,14,2015-05-17,true,7664,73,0.009525052192066806,real
2015-05-03,browse_only,30,2015-06-02,true,7664,35,0.004566805845511482,real
2015-05-03,cart_no_purchase,1,2015-05-04,true,156,19,0.12179487179487179,real
2015-05-03,cart_no_purchase,3,2015-05-06,true,156,6,0.038461538461538464,real
2015-05-03,cart_no_purchase,7,2015-05-10,true,156,2,0.01282051282051282,real
2015-05-03,cart_no_purchase,14,2015-05-17,true,156,5,0.03205128205128205,real
2015-05-03,cart_no_purchase,30,2015-06-02,true,156,1,0.00641025641025641,real
2015-05-03,first_session_purchase,1,2015-05-04,true,45,8,0.17777777777777778,real
2015-05-03,first_session_purchase,3,2015-05-06,true,45,2,0.044444444444444446,real
2015-05-03,first_session_purchase,7,2015-05-10,true,45,3,0.06666666666666667,real
2015-05-03,first_session_purchase,14,2015-05-17,true,45,0,0.0,real
2015-05-03,first_session_purchase,30,2015-06-02,true,45,1,0.022222222222222223,real
2015-05-04,all,1,2015-05-05,true,10614,371,0.034953834558130774,real
2015-05-04,all,3,2015-05-07,true,10614,169,0.015922366685509705,real
2015-05-04,all,7,2015-05-11,true,10614,92,0.008667797248916526,real
2015-05-04,all,14,2015-05-18,true,10614,81,0.007631430186546071,real
2015-05-04,all,30,2015-06-03,true,10614,36,0.0033917467495760316,real
2015-05-04,browse_only,1,2015-05-05,true,10348,348,0.03362968689601856,real
2015-05-04,browse_only,3,2015-05-07,true,10348,163,0.015751836103594898,real
2015-05-04,browse_only,7,2015-05-11,true,10348,90,0.008697332817935832,real
2015-05-04,browse_only,14,2015-05-18,true,10348,77,0.007441051410900657,real
2015-05-04,browse_only,30,2015-06-03,true,10348,36,0.003478933127174333,real
2015-05-04,cart_no_purchase,1,2015-05-05,true,190,18,0.09473684210526316,real
2015-05-04,cart_no_purchase,3,2015-05-07,true,190,4,0.021052631578947368,real
2015-05-04,cart_no_purchase,7,2015-05-11,true,190,1,0.005263157894736842,real
2015-05-04,cart_no_purchase,14,2015-05-18,true,190,3,0.015789473684210527,real
2015-05-04,cart_no_purchase,30,2015-06-03,true,190,0,0.0,real
2015-05-04,first_session_purchase,1,2015-05-05,true,76,5,0.06578947368421052,real
2015-05-04,first_session_purchase,3,2015-05-07,true,76,2,0.02631578947368421,real
2015-05-04,first_session_purchase,7,2015-05-11,true,76,1,0.013157894736842105,real
2015-05-04,first_session_purchase,14,2015-05-18,true,76,1,0.013157894736842105,real
2015-05-04,first_session_purchase,30,2015-06-03,true,76,0,0.0,real
2015-05-05,all,1,2015-05-06,true,12489,513,0.04107614700936824,real
2015-05-05,all,3,2015-05-08,true,12489,241,0.01929698134358235,real
2015-05-05,all,7,2015-05-12,true,12489,216,0.017295219793418207,real
2015-05-05,all,14,2015-05-19,true,12489,166,0.01329169669308992,real
2015-05-05,all,30,2015-06-04,true,12489,94,0.007526623428617183,real
2015-05-05,browse_only,1,2015-05-06,true,12173,475,0.03902078370163477,real
2015-05-05,browse_only,3,2015-05-08,true,12173,223,0.01831923108518853,real
2015-05-05,browse_only,7,2015-05-12,true,12173,200,0.016429803663846217,real
2015-05-05,browse_only,14,2015-05-19,true,12173,158,0.012979544894438512,real
2015-05-05,browse_only,30,2015-06-04,true,12173,91,0.007475560667050029,real
2015-05-05,cart_no_purchase,1,2015-05-06,true,199,18,0.09045226130653267,real
2015-05-05,cart_no_purchase,3,2015-05-08,true,199,9,0.04522613065326633,real
2015-05-05,cart_no_purchase,7,2015-05-12,true,199,11,0.05527638190954774,real
2015-05-05,cart_no_purchase,14,2015-05-19,true,199,6,0.03015075376884422,real
2015-05-05,cart_no_purchase,30,2015-06-04,true,199,2,0.010050251256281407,real
2015-05-05,first_session_purchase,1,2015-05-06,true,117,20,0.17094017094017094,real
2015-05-05,first_session_purchase,3,2015-05-08,true,117,9,0.07692307692307693,real
2015-05-05,first_session_purchase,7,2015-05-12,true,117,5,0.042735042735042736,real
2015-05-05,first_session_purchase,14,2015-05-19,true,117,2,0.017094017094017096,real
2015-05-05,first_session_purchase,30,2015-06-04,true,117,1,0.008547008547008548,real
2015-05-06,all,1,2015-05-07,true,12776,507,0.03968378209142141,real
2015-05-06,all,3,2015-05-09,true,12776,103,0.00806199123356293,real
2015-05-06,all,7,2015-05-13,true,12776,148,0.011584220413274891,real
2015-05-06,all,14,2015-05-20,true,12776,77,0.006026925485284909,real
2015-05-06,all,30,2015-06-05,true,12776,45,0.0035222291797119597,real
2015-05-06,browse_only,1,2015-05-07,true,12459,483,0.038767156272574044,real
2015-05-06,browse_only,3,2015-05-09,true,12459,97,0.007785536559916526,real
2015-05-06,browse_only,7,2015-05-13,true,12459,143,0.011477646681114053,real
2015-05-06,browse_only,14,2015-05-20,true,12459,75,0.006019744762822056,real
2015-05-06,browse_only,30,2015-06-05,true,12459,41,0.0032907938036760573,real
