scenario_id,activity_date,channel,campaign_id,spend,impressions,clicks,conversions,simulated_gmv,ctr,click_cvr,cac,roas,simulated_aov,seed,data_origin
no_effect,2026-06-01,affiliate,AFF-A,77.64,64,13,5,531.20,0.203125,0.38461538461538464,15.528,6.841834106130861,106.24000000000001,20260809,synthetic
no_effect,2026-06-01,affiliate,AFF-B,64.65,86,24,8,749.27,0.27906976744186046,0.3333333333333333,8.08125,11.589636504253672,93.65875,20260809,synthetic
no_effect,2026-06-01,display,DSP-A,62.74,47,12,4,366.02,0.2553191489361702,0.3333333333333333,15.685,5.83391775581766,91.505,20260809,synthetic
no_effect,2026-06-01,display,DSP-B,64.50,50,14,7,758.63,0.28,0.5,9.214285714285714,11.761705426356588,108.37571428571428,20260809,synthetic
no_effect,2026-06-01,paid_search,SEA-A,94.95,118,32,7,789.51,0.2711864406779661,0.21875,13.564285714285715,8.315007898894155,112.78714285714285,20260809,synthetic
no_effect,2026-06-01,paid_search,SEA-B,123.87,137,41,12,1116.88,0.29927007299270075,0.2926829268292683,10.3225,9.016549608460483,93.07333333333334,20260809,synthetic
no_effect,2026-06-01,paid_social,SOC-A,95.00,117,28,7,777.31,0.23931623931623933,0.25,13.571428571428571,8.182210526315789,111.0442857142857,20260809,synthetic
no_effect,2026-06-01,paid_social,SOC-B,75.16,101,31,11,1390.64,0.3069306930693069,0.3548387096774194,6.832727272727272,18.502394890899417,126.4218181818182,20260809,synthetic
no_effect,2026-06-02,affiliate,AFF-A,65.72,82,18,4,419.01,0.21951219512195122,0.2222222222222222,16.43,6.375684723067559,104.7525,20260809,synthetic
no_effect,2026-06-02,affiliate,AFF-B,61.71,80,17,4,422.40,0.2125,0.23529411764705882,15.4275,6.8449197860962565,105.6,20260809,synthetic
no_effect,2026-06-02,display,DSP-A,65.74,40,6,1,108.71,0.15,0.16666666666666666,65.74,1.653635533921509,108.71,20260809,synthetic
no_effect,2026-06-02,display,DSP-B,70.11,43,9,1,84.16,0.20930232558139536,0.1111111111111111,70.11,1.2003993724147768,84.16,20260809,synthetic
no_effect,2026-06-02,paid_search,SEA-A,102.93,111,27,6,605.72,0.24324324324324326,0.2222222222222222,17.155,5.884776061400952,100.95333333333333,20260809,synthetic
no_effect,2026-06-02,paid_search,SEA-B,96.92,116,28,10,749.01,0.2413793103448276,0.35714285714285715,9.692,7.728126289723483,74.901,20260809,synthetic
no_effect,2026-06-02,paid_social,SOC-A,69.23,119,25,9,1047.80,0.21008403361344538,0.36,7.692222222222223,15.135057056189511,116.42222222222222,20260809,synthetic
no_effect,2026-06-02,paid_social,SOC-B,94.66,125,26,9,878.27,0.208,0.34615384615384615,10.517777777777777,9.27815339108388,97.58555555555556,20260809,synthetic
no_effect,2026-06-03,affiliate,AFF-A,55.68,72,11,2,157.79,0.1527777777777778,0.18181818181818182,27.84,2.8338721264367814,78.895,20260809,synthetic
no_effect,2026-06-03,affiliate,AFF-B,59.97,69,14,5,515.59,0.2028985507246377,0.35714285714285715,11.994,8.597465399366351,103.11800000000001,20260809,synthetic
no_effect,2026-06-03,display,DSP-A,56.47,46,11,6,714.64,0.2391304347826087,0.5454545454545454,9.411666666666667,12.655215158491234,119.10666666666667,20260809,synthetic
no_effect,2026-06-03,display,DSP-B,57.59,44,8,3,373.80,0.18181818181818182,0.375,19.19666666666667,6.490710192741795,124.60000000000001,20260809,synthetic
no_effect,2026-06-03,paid_search,SEA-A,114.76,123,35,15,1681.07,0.2845528455284553,0.42857142857142855,7.650666666666667,14.648570930637852,112.07133333333333,20260809,synthetic
no_effect,2026-06-03,paid_search,SEA-B,82.22,120,24,9,967.49,0.2,0.375,9.135555555555555,11.767088299683776,107.49888888888889,20260809,synthetic
no_effect,2026-06-03,paid_social,SOC-A,62.92,97,20,5,766.47,0.20618556701030927,0.25,12.584,12.181659249841069,153.294,20260809,synthetic
no_effect,2026-06-03,paid_social,SOC-B,88.36,104,25,6,607.85,0.2403846153846154,0.24,14.726666666666667,6.8792440018107746,101.30833333333334,20260809,synthetic
no_effect,2026-06-04,affiliate,AFF-A,70.53,74,21,6,616.81,0.28378378378378377,0.2857142857142857,11.755,8.745356585849992,102.80166666666666,20260809,synthetic
no_effect,2026-06-04,affiliate,AFF-B,83.18,73,22,8,599.86,0.3013698630136986,0.36363636363636365,10.3975,7.211589324356816,74.9825,20260809,synthetic
no_effect,2026-06-04,display,DSP-A,52.97,46,12,1,100.86,0.2608695652173913,0.08333333333333333,52.97,1.9040966584859356,100.86,20260809,synthetic
no_effect,2026-06-04,display,DSP-B,53.71,45,12,7,868.94,0.26666666666666666,0.5833333333333334,7.672857142857143,16.178365295103333,124.13428571428572,20260809,synthetic
no_effect,2026-06-04,paid_search,SEA-A,89.64,135,28,8,865.24,0.2074074074074074,0.2857142857142857,11.205,9.652387327086123,108.155,20260809,synthetic
no_effect,2026-06-04,paid_search,SEA-B,88.57,122,32,11,1092.31,0.26229508196721313,0.34375,8.05181818181818,12.332731173083436,99.30090909090909,20260809,synthetic
no_effect,2026-06-04,paid_social,SOC-A,95.13,123,33,11,1166.81,0.2682926829268293,0.3333333333333333,8.648181818181818,12.265426258803743,106.07363636363635,20260809,synthetic
no_effect,2026-06-04,paid_social,SOC-B,92.56,110,24,6,535.76,0.21818181818181817,0.25,15.426666666666668,5.788245462402766,89.29333333333334,20260809,synthetic
no_effect,2026-06-05,affiliate,AFF-A,69.05,72,18,10,865.24,0.25,0.5555555555555556,6.904999999999999,12.530629978276611,86.524,20260809,synthetic
no_effect,2026-06-05,affiliate,AFF-B,69.13,72,15,4,528.12,0.20833333333333334,0.26666666666666666,17.2825,7.639519745407204,132.03,20260809,synthetic
